Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Agressive_Target,Predicted_Agressive_Target,Actual_Profit,Actual_Aggressive_profit,PAT_Profit_100,PAT_D_Profit_100,PAT_Loss_100,Target_Predicted_Aggressive_100_Defence_Target,PAT_Profit_Timestamp_100,PAT_D_Profit_Timestamp_100,PAT_Loss_Timestamp_100,Actual_Loss,PAT_Profit_Duration,PAT_D_Profit_Duration,PAT_Loss_Duration
9/3/2024 11:25,5634,5641.25,5633,5640.25,5658,5616.5,5614.75,5614,5613.25,5630,5630.5,5632.75,5633,5634,5640.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 12:15,5616.25,5619,5615.75,5616.75,5658,5616.5,5614.75,5614,5613.25,5615.75,5630,5630.5,5632.75,5633,0,5616.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 12:35,5613,5621,5611.75,5618.25,5658,5616.5,5614.75,5614,5613.25,5611.75,5615.75,5630,5630.5,5632.75,5618.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 14:00,5591.25,5605.25,5590.5,5604,5658,5616.5,5614.75,5614,5613.25,5590.5,5611.75,5615.75,5630,5630.5,0,5604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 14:05,5604,5607.75,5602.25,5606.5,5658,5616.5,5614.75,5614,5613.25,5590.5,5602.25,5611.75,5615.75,5630,5606.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 14:55,5594,5598.75,5594,5598.25,5658,5616.5,5614.75,5614,5613.25,5590.5,5594,5602.25,5611.75,5615.75,0,5598.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 15:00,5598.25,5599.5,5597.75,5599.25,5658,5616.5,5614.75,5614,5613.25,5590.5,5594,5597.75,5602.25,5611.75,5599.25,0,5599.25,5597.75,5594,5613.25,12.25,28.42,5625.5,5641.67,14,-26.25,0,0.5,0,5598.75,,9/3/2024 15:00,,0,0,0 Hours 0 Minutes 0 Seconds,0
9/3/2024 16:15,5592.25,5597.5,5592.25,5597.5,5658,5616.5,5614.75,5614,5613.25,5590.5,5592.25,5594,5597.75,5602.25,0,5597.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 17:15,5593.5,5597,5593,5596.75,5658,5616.5,5614.75,5614,5613.25,5590.5,5592.25,5593,5594,5597.75,0,5596.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 17:15,5593.5,5597,5593,5596.75,5658,5616.5,5614.75,5614,5613.25,5590.5,5592.25,5593,5594,5597.75,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,0,0,0,0
9/3/2024 17:20,5596.5,5597.75,5596.25,5597.5,5658,5616.5,5614.75,5614,5613.25,5590.5,5592.25,5593,5594,5596.25,5597.5,0,5597.5,5596.25,5594,5613.25,12.25,33.05,5625.5,5646.3,15.75,-28,0,0.375,0,5597.125,,9/3/2024 17:20,,0,0,0 Hours 0 Minutes 0 Seconds,0
9/3/2024 17:55,5591.25,5595.5,5588.5,5594.25,5658,5616.5,5614.75,5614,5613.25,5588.5,5590.5,5592.25,5593,5594,0,5594.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 18:00,5594,5595.75,5593,5593.5,5658,5616.5,5614.75,5614,5613.25,5588.5,5590.5,5592.25,5593,5594,0,5593.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 18:05,5593.25,5597.5,5593.25,5597.5,5658,5616.5,5614.75,5614,5613.25,5588.5,5590.5,5592.25,5593,5594,5597.5,0,5597.5,5594,5593,5613.25,12.25,31.44,5625.5,5644.69,15.75,28,0,1.5,0,5596,,9/3/2024 18:10,,0,0,0 Hours 5 Minutes 0 Seconds,0
9/3/2024 18:05,5593.25,5597.5,5593.25,5597.5,5658,5616.5,5614.75,5614,5613.25,5588.5,5590.5,5592.25,5593,5594,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,0,0,0,0
9/3/2024 18:10,5597.5,5599.25,5596.75,5598.25,5658,5616.5,5614.75,5614,5613.25,5588.5,5590.5,5592.25,5593,5593.25,5598.25,0,5598.25,5593.25,5593,5613.25,12.25,32.825,5625.5,5646.075,15,-27.25,0,2.25,0,5596,,9/3/2024 18:10,,0,0,0 Hours 0 Minutes 0 Seconds,0
